"DataDomain","ddMock","getName","String","""n"""
"RuntimeProperties","properties","get","String","""x"""
"RuntimeProperties","properties","get","Null","null"
"RuntimeProperties","properties","get","String","""username"""
"RuntimeProperties","properties","get","String","""12345"""
"RuntimeProperties","properties","get","String","""3"""
"RuntimeProperties","properties","get","String","""123456"""
"RuntimeProperties","properties","get","String","""url"""
"RuntimeProperties","properties","get","String","""x"""
"RuntimeProperties","properties","get","String","""y"""
"RuntimeProperties","properties","get","Null","null"
"RuntimeProperties","properties","get","String","""y"""
"RuntimeProperties","properties","get","String","""y"""
"DbAdapter","adapter","createTable","String","""XXXXX"""
"DbAdapter","adapter","createTable","String","""XXXXX"""
"ObjectId","mockObjectId","getEntityName","String","""mock-entity-name"""
"ExtendedType","tstType1","getClassName","String","""byte[]"""
"ExtendedType","tstType1","getClassName","String","""byte[]"""
"ValueObjectType","valueObjectType1","getValueType","TypeLiteral","Integer.class"
"ValueObjectType","valueObjectType1","getTargetType","TypeLiteral","Integer.class"
"ValueObjectType","valueObjectType2","getValueType","TypeLiteral","Number.class"
"ValueObjectType","valueObjectType2","getTargetType","TypeLiteral","Integer.class"
"Persistent","persistent","getPersistenceState","QualifiedName","PersistenceState.MODIFIED"
"Persistent","persistent","getPersistenceState","QualifiedName","PersistenceState.MODIFIED"
"Persistent","persistent","getPersistenceState","QualifiedName","PersistenceState.MODIFIED"
"Persistent","persistent","getPersistenceState","QualifiedName","PersistenceState.MODIFIED"
"Persistent","persistent","getPersistenceState","QualifiedName","PersistenceState.MODIFIED"
"EntitySorter","entitySorter","isReflexive","Boolean","true"
"Persistent","persistent","getPersistenceState","QualifiedName","PersistenceState.MODIFIED"
"Accessor","accessor","getName","String","""xyz"""
"ValueObjectType","mockType","getValueType","TypeLiteral","Double.class"
"ValueObjectType","mockType","toCacheKey","String","""<value placeholder>"""
"ObjectId","objectId1","toString","String","""objId1"""
"ObjectId","objectId2","toString","String","""objId2"""
"DbImportConfiguration","config","createMergeDelegate","ClassInstanceCreation","new DefaultModelMergeDelegate()"
"DbImportConfiguration","config","getDbLoaderConfig","ClassInstanceCreation","new DbLoaderConfiguration()"
"DbImportConfiguration","config","getTargetDataMap","ClassInstanceCreation","new File(""xyz.map.xml"")"
"DbImportConfiguration","config","createNameGenerator","ClassInstanceCreation","new DefaultObjectNameGenerator(NoStemStemmer.getInstance())"
